Total time to read binary file: 2.107804s 

Total time to find solution with A_star: 9.438836s 

Node id:1208534837 	 | Distance:76659.573934
Node id:1208534866 	 | Distance:76764.893788
Node id:46911418 	 | Distance:76983.108918
Node id:46911408 	 | Distance:77566.629654
Node id:46911399 	 | Distance:78243.140664
Node id:1088337416 	 | Distance:78298.358974
Node id:1088337462 	 | Distance:78343.709055
Node id:1088337559 	 | Distance:78439.466775
Node id:1088337543 	 | Distance:78518.855197
Node id:1088337614 	 | Distance:78599.558667
Node id:1088337394 	 | Distance:78681.127152
Node id:46911392 	 | Distance:78760.902447
Node id:46911385 	 | Distance:78992.669233
Node id:46911378 	 | Distance:79687.212338
Node id:46911324 	 | Distance:80080.265531
Node id:46911319 	 | Distance:80524.879721
Node id:1088337795 	 | Distance:80705.134340
Node id:1088337670 	 | Distance:80852.452179
Node id:46911310 	 | Distance:80970.599884
Node id:46911201 	 | Distance:81511.856289
Node id:46911193 	 | Distance:82052.310983
Node id:46911185 	 | Distance:82385.879795
Node id:46911175 	 | Distance:82886.151588
Node id:408186712 	 | Distance:83249.377472
Node id:46911169 	 | Distance:83613.229817
Node id:46911161 	 | Distance:83994.024631
Node id:46911154 	 | Distance:84348.522788
Node id:46911148 	 | Distance:84648.873565
Node id:822145092 	 | Distance:84983.959450
Node id:46911143 	 | Distance:84996.066833
Node id:46911136 	 | Distance:85369.483843
Node id:46911128 	 | Distance:85657.962043
Node id:46911123 	 | Distance:85888.297251
Node id:46911118 	 | Distance:86157.492059
Node id:46911111 	 | Distance:86447.030825
Node id:46911105 	 | Distance:86711.666267
Node id:1254685684 	 | Distance:86909.345324
Node id:46911089 	 | Distance:86984.413329
Node id:1030655370 	 | Distance:87043.408223
Node id:912172872 	 | Distance:87119.662212
Node id:1030655256 	 | Distance:87153.910335
Node id:1030655380 	 | Distance:87187.112341
Node id:46911086 	 | Distance:87228.938333
Node id:46911097 	 | Distance:87254.023103
Node id:912172977 	 | Distance:87389.758034
Node id:912172948 	 | Distance:87405.765183
Node id:1030655350 	 | Distance:87429.883036
Node id:1030655266 	 | Distance:87443.073693
Node id:954842742 	 | Distance:87453.451858
Node id:954843584 	 | Distance:87472.116285
Node id:1030655328 	 | Distance:87487.577627
Node id:1030655241 	 | Distance:87498.971841
Node id:954842869 	 | Distance:87509.882388
Node id:1030655276 	 | Distance:87524.610179
Node id:262160337 	 | Distance:87538.636029
Node id:1030655376 	 | Distance:87558.756131
Node id:954842818 	 | Distance:87578.557777
Node id:1060085571 	 | Distance:87595.231278
Node id:1030655264 	 | Distance:87598.335593
Node id:995925810 	 | Distance:87605.269328
Node id:995925537 	 | Distance:87612.494161
Node id:995925456 	 | Distance:87619.610297
Node id:995925700 	 | Distance:87630.174194
Node id:819190327 	 | Distance:87640.290300
Node id:995925791 	 | Distance:87659.902860
Node id:819190504 	 | Distance:87665.723517
